date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-12,18:08,0,0,0,0,1,0,0,0,0,0,0,0
2020-12-12,18:09,0,0,0,0,4,0,0,0,0,0,0,0
2020-12-12,18:10,0,0,0,0,2,0,0,0,0,0,0,0
2020-12-12,18:14,0,0,6,0,3,0,0,0,0,0,0,0
2020-12-12,19:06,0,0,0,0,0,0,0,0,6,0,0,0
2020-12-12,19:07,0,0,0,0,0,0,0,0,17,0,0,0
2020-12-12,19:08,0,0,0,0,0,0,0,0,20,0,0,0
2020-12-12,19:09,0,0,0,0,0,0,0,0,13,0,0,0
2020-12-12,19:12,0,0,0,0,0,0,0,0,18,0,0,0
2020-12-12,19:13,0,0,0,0,0,0,0,0,27,0,0,0
2020-12-12,19:14,0,0,0,0,0,0,0,0,30,0,0,1
2020-12-12,19:15,0,0,0,0,0,0,0,0,12,0,0,0
2020-12-12,19:18,0,0,0,0,0,0,0,0,12,0,0,0
2020-12-12,19:19,0,0,0,0,0,0,0,0,4,0,0,0
